"Year","Month","Variable","Treatment","Value","Model"
2012,"Jun","mnee","Control",-0.015,"LPJGUESS"
2012,"Jun","mnpp","Control",0.082,"LPJGUESS"
2012,"Jun","mra","Control",0.052,"LPJGUESS"
2012,"Jun","mrh","Control",0.068,"LPJGUESS"
2012,"Jun","mrunoff","Control",3.378,"LPJGUESS"
2012,"Jun","mwcont_lower","Control",0.948,"LPJGUESS"
2012,"Jun","mwcont_upper","Control",0.457,"LPJGUESS"
2012,"Mar","maet","Control",22.181,"LPJGUESS"
2012,"Mar","mevap","Control",5.771,"LPJGUESS"
2012,"Mar","mgpp","Control",0.046,"LPJGUESS"
2012,"Mar","mlai","Control",4.165,"LPJGUESS"
2012,"Mar","mnee","Control",0.017,"LPJGUESS"
2012,"Mar","mnpp","Control",0.028,"LPJGUESS"
2012,"Mar","mra","Control",0.018,"LPJGUESS"
2012,"Mar","mrh","Control",0.045,"LPJGUESS"
2012,"Mar","mrunoff","Control",35.264,"LPJGUESS"
2012,"Mar","mwcont_lower","Control",0.951,"LPJGUESS"
2012,"Mar","mwcont_upper","Control",0.874,"LPJGUESS"
2012,"May","maet","Control",90.333,"LPJGUESS"
2012,"May","mevap","Control",0,"LPJGUESS"
2012,"May","mgpp","Control",0.173,"LPJGUESS"
2012,"May","mlai","Control",5.264,"LPJGUESS"
2012,"May","mnee","Control",-0.066,"LPJGUESS"
2012,"May","mnpp","Control",0.115,"LPJGUESS"
2012,"May","mra","Control",0.058,"LPJGUESS"
2012,"May","mrh","Control",0.049,"LPJGUESS"
2012,"May","mrunoff","Control",13.196,"LPJGUESS"
2012,"May","mwcont_lower","Control",0.965,"LPJGUESS"
2012,"May","mwcont_upper","Control",0.442,"LPJGUESS"
2012,"Nov","maet","Control",4.911,"LPJGUESS"
2012,"Nov","mevap","Control",0,"LPJGUESS"
2012,"Nov","mgpp","Control",0.002,"LPJGUESS"
2012,"Nov","mlai","Control",5.264,"LPJGUESS"
2012,"Nov","mnee","Control",0.03,"LPJGUESS"
2012,"Nov","mnpp","Control",-0.006,"LPJGUESS"
2012,"Nov","mra","Control",0.008,"LPJGUESS"
2012,"Nov","mrh","Control",0.024,"LPJGUESS"
2012,"Nov","mrunoff","Control",4.305,"LPJGUESS"
2012,"Nov","mwcont_lower","Control",0.935,"LPJGUESS"
2012,"Nov","mwcont_upper","Control",0.629,"LPJGUESS"
2012,"Oct","maet","Control",16.995,"LPJGUESS"
2012,"Oct","mevap","Control",0,"LPJGUESS"
2012,"Oct","mgpp","Control",0.029,"LPJGUESS"
2012,"Oct","mlai","Control",5.264,"LPJGUESS"
2012,"Oct","mnee","Control",0.026,"LPJGUESS"
2012,"Oct","mnpp","Control",0.012,"LPJGUESS"
