"Year","Month","Variable","Treatment","Value","Model"
2012,"Aug","mwcont_lower","Control",0.827,"LPJGUESS"
2012,"Aug","mwcont_upper","Control",0.33,"LPJGUESS"
2012,"Dec","maet","Control",0,"LPJGUESS"
2012,"Dec","mevap","Control",4.924,"LPJGUESS"
2012,"Dec","mgpp","Control",0,"LPJGUESS"
2012,"Dec","mlai","Control",0,"LPJGUESS"
2012,"Dec","mnee","Control",0.013,"LPJGUESS"
2012,"Dec","mnpp","Control",0,"LPJGUESS"
2012,"Dec","mra","Control",0,"LPJGUESS"
2012,"Dec","mrh","Control",0.013,"LPJGUESS"
2012,"Dec","mrunoff","Control",2.261,"LPJGUESS"
2012,"Dec","mwcont_lower","Control",0.778,"LPJGUESS"
2012,"Dec","mwcont_upper","Control",0.539,"LPJGUESS"
2012,"Feb","maet","Control",0.115,"LPJGUESS"
2012,"Feb","mevap","Control",19.004,"LPJGUESS"
2012,"Feb","mgpp","Control",0,"LPJGUESS"
2012,"Feb","mlai","Control",0.083,"LPJGUESS"
2012,"Feb","mnee","Control",0.019,"LPJGUESS"
2012,"Feb","mnpp","Control",0,"LPJGUESS"
2012,"Feb","mra","Control",0,"LPJGUESS"
2012,"Feb","mrh","Control",0.019,"LPJGUESS"
2012,"Feb","mrunoff","Control",12.263,"LPJGUESS"
2012,"Feb","mwcont_lower","Control",0.903,"LPJGUESS"
2012,"Feb","mwcont_upper","Control",0.841,"LPJGUESS"
2012,"Jan","maet","Control",0,"LPJGUESS"
2012,"Jan","mevap","Control",15.289,"LPJGUESS"
2012,"Jan","mgpp","Control",0,"LPJGUESS"
2012,"Jan","mlai","Control",0,"LPJGUESS"
2012,"Jan","mnee","Control",0.018,"LPJGUESS"
2012,"Jan","mnpp","Control",0,"LPJGUESS"
2012,"Jan","mra","Control",0,"LPJGUESS"
2012,"Jan","mrh","Control",0.018,"LPJGUESS"
2012,"Jan","mrunoff","Control",0.6,"LPJGUESS"
2012,"Jan","mwcont_lower","Control",0.881,"LPJGUESS"
2012,"Jan","mwcont_upper","Control",0.874,"LPJGUESS"
2012,"Jul","maet","Control",77.581,"LPJGUESS"
2012,"Jul","mevap","Control",0.328,"LPJGUESS"
2012,"Jul","mgpp","Control",0.161,"LPJGUESS"
2012,"Jul","mlai","Control",3.994,"LPJGUESS"
2012,"Jul","mnee","Control",-0.054,"LPJGUESS"
2012,"Jul","mnpp","Control",0.103,"LPJGUESS"
2012,"Jul","mra","Control",0.059,"LPJGUESS"
2012,"Jul","mrh","Control",0.049,"LPJGUESS"
2012,"Jul","mrunoff","Control",6.475,"LPJGUESS"
2012,"Jul","mwcont_lower","Control",0.874,"LPJGUESS"
2012,"Jul","mwcont_upper","Control",0.135,"LPJGUESS"
2012,"Jun","maet","Control",80.712,"LPJGUESS"
2012,"Jun","mevap","Control",1.803,"LPJGUESS"
2012,"Jun","mgpp","Control",0.155,"LPJGUESS"
2012,"Jun","mlai","Control",3.631,"LPJGUESS"
2012,"Jun","mnee","Control",-0.039,"LPJGUESS"
2012,"Jun","mnpp","Control",0.103,"LPJGUESS"
2012,"Jun","mra","Control",0.052,"LPJGUESS"
2012,"Jun","mrh","Control",0.064,"LPJGUESS"
2012,"Jun","mrunoff","Control",5.234,"LPJGUESS"
2012,"Jun","mwcont_lower","Control",0.906,"LPJGUESS"
2012,"Jun","mwcont_upper","Control",0.377,"LPJGUESS"
2012,"Mar","maet","Control",23.374,"LPJGUESS"
2012,"Mar","mevap","Control",8.973,"LPJGUESS"
2012,"Mar","mgpp","Control",0.049,"LPJGUESS"
2012,"Mar","mlai","Control",3.873,"LPJGUESS"
2012,"Mar","mnee","Control",0.017,"LPJGUESS"
2012,"Mar","mnpp","Control",0.03,"LPJGUESS"
2012,"Mar","mra","Control",0.018,"LPJGUESS"
2012,"Mar","mrh","Control",0.047,"LPJGUESS"
2012,"Mar","mrunoff","Control",27.855,"LPJGUESS"
2012,"Mar","mwcont_lower","Control",0.949,"LPJGUESS"
2012,"Mar","mwcont_upper","Control",0.916,"LPJGUESS"
2012,"May","maet","Control",92.867,"LPJGUESS"
2012,"May","mevap","Control",0.962,"LPJGUESS"
2012,"May","mgpp","Control",0.191,"LPJGUESS"
2012,"May","mlai","Control",4.811,"LPJGUESS"
2012,"May","mnee","Control",-0.085,"LPJGUESS"
2012,"May","mnpp","Control",0.13,"LPJGUESS"
2012,"May","mra","Control",0.061,"LPJGUESS"
2012,"May","mrh","Control",0.045,"LPJGUESS"
2012,"May","mrunoff","Control",6.045,"LPJGUESS"
2012,"May","mwcont_lower","Control",0.943,"LPJGUESS"
2012,"May","mwcont_upper","Control",0.36,"LPJGUESS"
2012,"Nov","maet","Control",0,"LPJGUESS"
2012,"Nov","mevap","Control",3.68,"LPJGUESS"
2012,"Nov","mgpp","Control",0,"LPJGUESS"
2012,"Nov","mlai","Control",0,"LPJGUESS"
2012,"Nov","mnee","Control",0.018,"LPJGUESS"
